airline,flight_id,dom_int,schedule_time,arr_dep,airport
DY,DY1308,I,2023-12-20T14:30:00Z,D,LGW
DY,DY618,D,2023-12-20T14:30:00Z,D,BGO
SK,SK1905,S,2023-12-20T14:30:00Z,D,BLL
SK,SK4116,D,2023-12-20T14:30:00Z,D,BOO
DY,DY346,D,2023-12-20T14:30:00Z,D,BOO
SK,SK271,D,2023-12-20T14:35:00Z,D,BGO
DY,DY1258,S,2023-12-20T14:40:00Z,D,AMS
LH,LH863,S,2023-12-20T14:45:00Z,D,FRA
SK,SK4094,D,2023-12-20T15:00:00Z,D,EVE
WF,WF153,D,2023-12-20T15:00:00Z,D,OSL
D8,D83229,S,2023-12-20T15:00:00Z,D,CPH
SK,SK882,S,2023-12-20T15:05:00Z,D,ARN
SK,SK459,S,2023-12-20T15:10:00Z,D,CPH
SK,SK2305,D,2023-12-20T15:10:00Z,D,KSU
SK,SK4039,D,2023-12-20T15:15:00Z,D,SVG
SK,SK4745,S,2023-12-20T15:15:00Z,D,BRU
DX,DX574,D,2023-12-20T15:15:00Z,D,FRO
DY,DY538,D,2023-12-20T15:15:00Z,D,SVG
DY,DY620,D,2023-12-20T15:20:00Z,D,BGO
DY,DY760,D,2023-12-20T15:20:00Z,D,TRD
SK,SK818,S,2023-12-20T15:25:00Z,D,DUS
DY,DY190,D,2023-12-20T15:30:00Z,D,HAU
SK,SK827,S,2023-12-20T15:30:00Z,D,AMS
SK,SK4424,D,2023-12-20T15:40:00Z,D,TOS
WF,WF175,D,2023-12-20T15:45:00Z,D,BGO
SK,SK316,D,2023-12-20T15:45:00Z,D,HAU
SK,SK884,S,2023-12-20T15:50:00Z,D,ARN
DY,DY276,D,2023-12-20T15:55:00Z,D,KRS
DY,DY820,S,2023-12-20T16:00:00Z,D,ARN
DY,DY622,D,2023-12-20T16:00:00Z,D,BGO
SK,SK364,D,2023-12-20T16:00:00Z,D,TRD
SK,SK811,I,2023-12-20T16:00:00Z,D,LHR
DY,DY762,D,2023-12-20T16:00:00Z,D,TRD
KL,KL1148,S,2023-12-20T16:00:00Z,D,AMS
SK,SK277,D,2023-12-20T16:00:00Z,D,BGO
SK,SK1326,D,2023-12-20T16:00:00Z,D,AES
SK,SK221,D,2023-12-20T16:05:00Z,D,KRS
DY,DY540,D,2023-12-20T16:05:00Z,D,SVG
DY,DY328,D,2023-12-20T16:10:00Z,D,ALF
DY,DY430,D,2023-12-20T16:15:00Z,D,MOL
SK,SK4043,D,2023-12-20T16:15:00Z,D,SVG
AF,AF1775,S,2023-12-20T16:20:00Z,D,CDG
AY,AY916,S,2023-12-20T16:20:00Z,D,HEL
DY,DY948,S,2023-12-20T16:25:00Z,D,CPH
SK,SK4122,D,2023-12-20T16:30:00Z,D,BOO
DY,DY350,D,2023-12-20T16:30:00Z,D,BOO
WF,WF155,D,2023-12-20T16:30:00Z,D,BGO
SK,SK1921,S,2023-12-20T16:40:00Z,D,AAL
DY,DY626,D,2023-12-20T16:40:00Z,D,BGO
WF,WF195,D,2023-12-20T16:45:00Z,D,FDE
SK,SK348,D,2023-12-20T16:45:00Z,D,TRD
SK,SK488,S,2023-12-20T16:50:00Z,D,ARN
DY,DY764,D,2023-12-20T16:50:00Z,D,TRD
WF,WF038,D,2023-12-20T16:50:00Z,D,RRS
DY,DY366,D,2023-12-20T16:55:00Z,D,EVE
SN,SN2284,S,2023-12-20T17:00:00Z,D,BRU
DY,DY414,D,2023-12-20T17:00:00Z,D,AES
SK,SK461,S,2023-12-20T17:05:00Z,D,CPH
DY,DY544,D,2023-12-20T17:10:00Z,D,SVG
DY,DY628,D,2023-12-20T17:25:00Z,D,BGO
TK,TK1754,I,2023-12-20T17:25:00Z,D,IST
SK,SK1484,S,2023-12-20T17:30:00Z,D,ARN
LH,LH867,S,2023-12-20T17:30:00Z,D,FRA
SK,SK4434,D,2023-12-20T17:40:00Z,D,ALF
D8,D83233,S,2023-12-20T17:45:00Z,D,CPH
LH,LH2455,S,2023-12-20T17:45:00Z,D,MUC
SK,SK283,D,2023-12-20T17:45:00Z,D,BGO
ET,ET715,I,2023-12-20T17:45:00Z,D,ADD
KL,KL1150,S,2023-12-20T17:55:00Z,D,AMS
SK,SK1477,S,2023-12-20T17:55:00Z,D,CPH
DY,DY768,D,2023-12-20T18:00:00Z,D,TRD
DY,DY632,D,2023-12-20T18:00:00Z,D,BGO
D8,D84120,S,2023-12-20T18:00:00Z,D,ARN
DY,DY546,D,2023-12-20T18:10:00Z,D,SVG
SK,SK370,D,2023-12-20T18:30:00Z,D,TRD
WF,WF177,D,2023-12-20T18:35:00Z,D,HOV
DY,DY436,D,2023-12-20T18:45:00Z,D,MOL
D8,D85325,S,2023-12-20T18:45:00Z,D,ALC
DY,DY196,D,2023-12-20T18:45:00Z,D,HAU
LO,LO484,S,2023-12-20T18:50:00Z,D,WAW
DY,DY278,D,2023-12-20T18:50:00Z,D,KRS
DY,DY356,D,2023-12-20T18:50:00Z,D,BOO
BT,BT154,S,2023-12-20T18:50:00Z,D,RIX
SK,SK4124,D,2023-12-20T18:55:00Z,D,BOO
DY,DY382,D,2023-12-20T18:55:00Z,D,TOS
SK,SK223,D,2023-12-20T19:00:00Z,D,KRS
FR,FR1502,S,2023-12-20T19:00:00Z,D,VNO
SK,SK1330,D,2023-12-20T19:00:00Z,D,AES
SK,SK4432,D,2023-12-20T19:05:00Z,D,TOS
SK,SK815,I,2023-12-20T19:10:00Z,D,LHR
SK,SK320,D,2023-12-20T19:10:00Z,D,HAU
DX,DX576,D,2023-12-20T19:15:00Z,D,FRO
DY,DY368,D,2023-12-20T19:15:00Z,D,EVE
WF,WF078,D,2023-12-20T19:15:00Z,D,TRD
SK,SK4055,D,2023-12-20T19:30:00Z,D,SVG
SK,SK291,D,2023-12-20T19:30:00Z,D,BGO
WF,WF157,D,2023-12-20T19:30:00Z,D,SDN
SK,SK2309,D,2023-12-20T19:30:00Z,D,KSU
SK,SK380,D,2023-12-20T19:30:00Z,D,TRD
DY,DY770,D,2023-12-20T19:40:00Z,D,TRD
SK,SK397,D,2023-12-20T19:50:00Z,D,BDU
AY,AY918,S,2023-12-20T19:50:00Z,D,HEL
DY,DY418,D,2023-12-20T19:55:00Z,D,AES
DY,DY550,D,2023-12-20T19:55:00Z,D,SVG
W6,W65034,S,2023-12-20T20:00:00Z,D,KRK
SK,SK1475,S,2023-12-20T20:00:00Z,D,CPH
DY,DY638,D,2023-12-20T20:05:00Z,D,BGO
SK,SK1488,S,2023-12-20T20:15:00Z,D,ARN
RK,RK1395,I,2023-12-20T20:35:00Z,D,STN
W6,W61786,S,2023-12-20T20:55:00Z,D,GDN
DY,DY776,D,2023-12-20T21:00:00Z,D,TRD
WF,WF199,D,2023-12-20T21:45:00Z,D,FDE
WF,WF179,D,2023-12-20T21:45:00Z,D,HOV
SK,SK4683,S,2023-12-21T04:55:00Z,D,AGP
LH,LH865,S,2023-12-21T05:00:00Z,D,FRA
WF,WF030,D,2023-12-21T05:00:00Z,D,RRS
DY,DY1052,S,2023-12-21T05:00:00Z,D,GDN
SK,SK1461,S,2023-12-21T05:05:00Z,D,CPH
LH,LH2457,S,2023-12-21T05:05:00Z,D,MUC
AF,AF1275,S,2023-12-21T05:20:00Z,D,CDG
KL,KL1140,S,2023-12-21T05:30:00Z,D,AMS
SN,SN2288,S,2023-12-21T05:40:00Z,D,BRU
SK,SK844,S,2023-12-21T05:50:00Z,D,ARN
DY,DY740,D,2023-12-21T06:00:00Z,D,TRD
DY,DY804,S,2023-12-21T06:00:00Z,D,ARN
DY,DY602,D,2023-12-21T06:00:00Z,D,BGO
DK,DK1578,S,2023-12-21T06:00:00Z,D,LPA
DY,DY1260,I,2023-12-21T06:00:00Z,D,AYT
DY,DY522,D,2023-12-21T06:00:00Z,D,SVG
DY,DY1302,I,2023-12-21T06:00:00Z,D,LGW
SK,SK1463,S,2023-12-21T06:05:00Z,D,CPH
BA,BA761,I,2023-12-21T06:10:00Z,D,LHR
DY,DY1404,S,2023-12-21T06:20:00Z,D,NCE
DY,DY8412,D,2023-12-21T06:25:00Z,D,TOS
DY,DY932,S,2023-12-21T06:30:00Z,D,CPH
FR,FR1502,S,2023-12-21T06:30:00Z,D,VNO
DY,DY1102,S,2023-12-21T06:30:00Z,D,BER
SK,SK482,S,2023-12-21T06:40:00Z,D,ARN
SK,SK4697,S,2023-12-21T06:45:00Z,D,LPA
SK,SK803,I,2023-12-21T06:55:00Z,D,LHR
SK,SK821,S,2023-12-21T06:55:00Z,D,AMS
SK,SK4406,D,2023-12-21T07:00:00Z,D,TOS
SK,SK251,D,2023-12-21T07:00:00Z,D,BGO
SK,SK332,D,2023-12-21T07:00:00Z,D,TRD
SK,SK4011,D,2023-12-21T07:05:00Z,D,SVG
SK,SK4787,S,2023-12-21T07:05:00Z,D,KEF
DY,DY422,D,2023-12-21T07:10:00Z,D,MOL
QR,QR180,I,2023-12-21T07:15:00Z,D,DOH
DY,DY402,D,2023-12-21T07:20:00Z,D,AES
WF,WF143,D,2023-12-21T07:20:00Z,D,OSL
WF,WF163,D,2023-12-21T07:25:00Z,D,AES
WF,WF183,D,2023-12-21T07:25:00Z,D,FDE
DY,DY1072,S,2023-12-21T07:30:00Z,D,RIX
D8,D84104,S,2023-12-21T07:30:00Z,D,ARN
W6,W61786,S,2023-12-21T07:30:00Z,D,GDN
DY,DY182,D,2023-12-21T07:30:00Z,D,HAU
DY,DY340,D,2023-12-21T07:30:00Z,D,BOO
BT,BT152,S,2023-12-21T07:35:00Z,D,RIX
SK,SK4082,D,2023-12-21T07:35:00Z,D,EVE
SK,SK4104,D,2023-12-21T07:35:00Z,D,BOO
SK,SK4472,D,2023-12-21T07:40:00Z,D,KKN
DY,DY1494,S,2023-12-21T07:40:00Z,D,CDG
LX,LX1219,S,2023-12-21T07:45:00Z,D,ZRH
AY,AY912,S,2023-12-21T07:45:00Z,D,HEL
SK,SK480,S,2023-12-21T07:45:00Z,D,ARN
DX,DX562,D,2023-12-21T07:45:00Z,D,OLA
DX,DX572,D,2023-12-21T07:50:00Z,D,FRO
SK,SK391,D,2023-12-21T07:50:00Z,D,BDU
DY,DY360,D,2023-12-21T07:55:00Z,D,EVE
DY,DY744,D,2023-12-21T07:55:00Z,D,TRD
DY,DY526,D,2023-12-21T07:55:00Z,D,SVG
DY,DY606,D,2023-12-21T08:00:00Z,D,BGO
DY,DY1740,S,2023-12-21T08:10:00Z,D,BCN
DY,DY1602,S,2023-12-21T08:10:00Z,D,GVA
FR,FR7101,S,2023-12-21T08:15:00Z,D,KTW
D8,D83221,S,2023-12-21T08:15:00Z,D,CPH
SK,SK455,S,2023-12-21T08:15:00Z,D,CPH
KL,KL1142,S,2023-12-21T08:20:00Z,D,AMS
DY,DY1020,S,2023-12-21T08:25:00Z,D,WAW
DY,DY998,S,2023-12-21T08:30:00Z,D,BLL
SK,SK4414,D,2023-12-21T08:35:00Z,D,LYR
DY,DY1872,S,2023-12-21T08:35:00Z,D,FCO
JU,JU451,I,2023-12-21T08:40:00Z,D,BEG
DY,DY1082,S,2023-12-21T08:40:00Z,D,VNO
DY,DY1502,S,2023-12-21T08:50:00Z,D,PRG
SK,SK841,S,2023-12-21T08:50:00Z,D,ZRH
DY,DY8410,D,2023-12-21T08:50:00Z,D,KKN
SK,SK4603,I,2023-12-21T08:50:00Z,D,DUB
SK,SK864,S,2023-12-21T08:55:00Z,D,ARN
SK,SK1455,S,2023-12-21T09:00:00Z,D,CPH
DY,DY1040,S,2023-12-21T09:00:00Z,D,KRK
DY,DY1876,S,2023-12-21T09:10:00Z,D,MXP
DY,DY1550,S,2023-12-21T09:10:00Z,D,BUD
DY,DY8416,D,2023-12-21T09:20:00Z,D,TOS
DY,DY608,D,2023-12-21T09:40:00Z,D,BGO
DY,DY750,D,2023-12-21T09:40:00Z,D,TRD
LO,LO482,S,2023-12-21T09:40:00Z,D,WAW
RK,RK1393,I,2023-12-21T09:40:00Z,D,STN
SK,SK907,I,2023-12-21T09:45:00Z,D,EWR
DY,DY530,D,2023-12-21T09:50:00Z,D,SVG
SK,SK4609,I,2023-12-21T09:55:00Z,D,MAN
SK,SK338,D,2023-12-21T10:00:00Z,D,TRD
DY,DY1190,S,2023-12-21T10:00:00Z,D,HEL
SK,SK837,S,2023-12-21T10:05:00Z,D,CDG
SK,SK2418,S,2023-12-21T10:10:00Z,D,TLL
SK,SK4086,D,2023-12-21T10:10:00Z,D,EVE
DY,DY1156,S,2023-12-21T10:10:00Z,D,MUC
SK,SK4023,D,2023-12-21T10:15:00Z,D,SVG
SK,SK4416,D,2023-12-21T10:20:00Z,D,TOS
SK,SK1467,S,2023-12-21T10:20:00Z,D,CPH
LH,LH2453,S,2023-12-21T10:25:00Z,D,MUC
DY,DY1640,I,2023-12-21T10:25:00Z,D,EDI
DY,DY1822,S,2023-12-21T10:30:00Z,D,TFS
SK,SK4546,D,2023-12-21T10:35:00Z,D,ALF
WF,WF169,D,2023-12-21T10:45:00Z,D,AES
BA,BA763,I,2023-12-21T10:45:00Z,D,LHR
WF,WF720,D,2023-12-21T10:55:00Z,D,SSJ
WF,WF187,D,2023-12-21T11:00:00Z,D,FDE
DY,DY532,D,2023-12-21T11:00:00Z,D,SVG
DY,DY1104,S,2023-12-21T11:10:00Z,D,BER
TK,TK1752,I,2023-12-21T11:10:00Z,D,IST
SK,SK1320,D,2023-12-21T11:15:00Z,D,AES
A3,A3757,S,2023-12-21T11:30:00Z,D,ATH
SK,SK263,D,2023-12-21T11:35:00Z,D,BGO
DY,DY374,D,2023-12-21T11:35:00Z,D,TOS
KL,KL1144,S,2023-12-21T11:40:00Z,D,AMS
SK,SK4112,D,2023-12-21T11:45:00Z,D,BOO
SK,SK868,S,2023-12-21T11:45:00Z,D,ARN
DY,DY1086,S,2023-12-21T11:55:00Z,D,PLQ
DY,DY1126,S,2023-12-21T12:00:00Z,D,HAM
FI,FI319,S,2023-12-21T12:00:00Z,D,KEF
SK,SK4518,D,2023-12-21T12:00:00Z,D,MOL
SK,SK805,I,2023-12-21T12:05:00Z,D,LHR
DY,DY1306,I,2023-12-21T12:05:00Z,D,LGW
SK,SK4418,D,2023-12-21T12:10:00Z,D,TOS
LH,LH861,S,2023-12-21T12:15:00Z,D,FRA
N0,N0091,I,2023-12-21T12:15:00Z,D,BKK
SK,SK344,D,2023-12-21T12:15:00Z,D,TRD
AY,AY914,S,2023-12-21T12:15:00Z,D,HEL
DY,DY612,D,2023-12-21T12:20:00Z,D,BGO
DY,DY362,D,2023-12-21T12:25:00Z,D,EVE
SK,SK1469,S,2023-12-21T12:25:00Z,D,CPH
DY,DY754,D,2023-12-21T12:25:00Z,D,TRD
DY,DY534,D,2023-12-21T12:35:00Z,D,SVG
SK,SK312,D,2023-12-21T12:50:00Z,D,HAU
SK,SK484,S,2023-12-21T12:50:00Z,D,ARN
DY,DY940,S,2023-12-21T12:55:00Z,D,CPH
WF,WF036,D,2023-12-21T13:00:00Z,D,RRS
SK,SK267,D,2023-12-21T13:05:00Z,D,BGO
DX,DX574,D,2023-12-21T13:05:00Z,D,FRO
SK,SK215,D,2023-12-21T13:10:00Z,D,KRS
EK,EK160,I,2023-12-21T13:10:00Z,D,DXB
SK,SK1927,S,2023-12-21T13:20:00Z,D,AAR
SK,SK4031,D,2023-12-21T13:30:00Z,D,SVG
DY,DY756,D,2023-12-21T13:40:00Z,D,TRD
W6,W61784,S,2023-12-21T13:40:00Z,D,GDN
SK,SK393,D,2023-12-21T13:45:00Z,D,BDU
WF,WF191,D,2023-12-21T13:45:00Z,D,FDE
WF,WF173,D,2023-12-21T13:45:00Z,D,HOV
BT,BT816,S,2023-12-21T13:45:00Z,D,TLL
QR,QR176,I,2023-12-21T14:00:00Z,D,DOH
SK,SK809,I,2023-12-21T14:00:00Z,D,LHR
DY,DY816,S,2023-12-21T14:00:00Z,D,ARN
DY,DY378,D,2023-12-21T14:00:00Z,D,TOS
DY,DY410,D,2023-12-21T14:10:00Z,D,AES
BA,BA767,I,2023-12-21T14:10:00Z,D,LHR
SK,SK1471,S,2023-12-21T14:10:00Z,D,CPH
DY,DY536,D,2023-12-21T14:15:00Z,D,SVG
SK,SK362,D,2023-12-21T14:20:00Z,D,TRD
DY,DY5995,S,2023-12-21T14:25:00Z,D,LPA
SK,SK4116,D,2023-12-21T14:30:00Z,D,BOO
DY,DY1308,I,2023-12-21T14:30:00Z,D,LGW
DY,DY758,D,2023-12-21T14:30:00Z,D,TRD
DY,DY346,D,2023-12-21T14:30:00Z,D,BOO
DY,DY618,D,2023-12-21T14:30:00Z,D,BGO
SK,SK1905,S,2023-12-21T14:30:00Z,D,BLL
SK,SK271,D,2023-12-21T14:35:00Z,D,BGO
DY,DY1170,S,2023-12-21T14:40:00Z,D,KEF
D8,D85025,S,2023-12-21T14:45:00Z,D,AGP
LH,LH863,S,2023-12-21T14:45:00Z,D,FRA
WF,WF153,D,2023-12-21T15:00:00Z,D,OSL
D8,D83229,S,2023-12-21T15:00:00Z,D,CPH
SK,SK4094,D,2023-12-21T15:00:00Z,D,EVE
SK,SK882,S,2023-12-21T15:05:00Z,D,ARN
SK,SK459,S,2023-12-21T15:10:00Z,D,CPH
SK,SK2305,D,2023-12-21T15:10:00Z,D,KSU
SK,SK4745,S,2023-12-21T15:15:00Z,D,BRU
SK,SK4039,D,2023-12-21T15:15:00Z,D,SVG
DY,DY538,D,2023-12-21T15:15:00Z,D,SVG
DY,DY760,D,2023-12-21T15:20:00Z,D,TRD
DY,DY620,D,2023-12-21T15:20:00Z,D,BGO
SK,SK358,D,2023-12-21T15:20:00Z,D,TRD
SK,SK818,S,2023-12-21T15:25:00Z,D,DUS
DY,DY190,D,2023-12-21T15:30:00Z,D,HAU
SK,SK4841,S,2023-12-21T15:30:00Z,D,ZRH
SK,SK827,S,2023-12-21T15:30:00Z,D,AMS
VY,VY8539,S,2023-12-21T15:30:00Z,D,BCN
SK,SK4424,D,2023-12-21T15:40:00Z,D,TOS
WF,WF175,D,2023-12-21T15:45:00Z,D,BGO
SK,SK316,D,2023-12-21T15:45:00Z,D,HAU
SK,SK884,S,2023-12-21T15:50:00Z,D,ARN
DY,DY276,D,2023-12-21T15:55:00Z,D,KRS
SK,SK811,I,2023-12-21T16:00:00Z,D,LHR
DY,DY762,D,2023-12-21T16:00:00Z,D,TRD
SK,SK277,D,2023-12-21T16:00:00Z,D,BGO
SK,SK364,D,2023-12-21T16:00:00Z,D,TRD
DY,DY622,D,2023-12-21T16:00:00Z,D,BGO
SK,SK1326,D,2023-12-21T16:00:00Z,D,AES
