code,name
EVX,Evreux-Fauville
EWB,New Bedford
EWN,New Bern/Simmons
EWR,New York Newark
EXT,Exeter
EYW,Key West
EZS,Elazig
FAB,Farnborough
FAE,Færøyene
FAG,Fagurholsmyri
FAN,Farsund
FAO,Faro
FAR,Fargo/Hector F
FAT,Fresno
FAY,Fayetteville Municipal
FBG,Fort Bragg/Simmons
FCA,Kalispell
FCN,Nordholz - Naval
FCO,Roma Fiumicino
FDE,Førde
FDH,Friedrichshafen
FEZ,Fez
FFD,Fairford
FFO,Dayton Patterson
FHU,Fort Huachuca/Libby AA
FIE,Fair Isle
FIN,Finnmark
FJE,Blåfjell
FLF,Flensburg/Schaferhaus
FLG,Flagstaff/Pulliam
FLL,Fort Lauderdale - Miami
FLO,Florence
FLR,Firenze
FLV,Fort Leavenworth/Sherman
FLW,Azorene Flores
FME,Fort Meade/Tipton A
FMM,Allgau Memmingen
FMO,Munster
FNC,Funchal
FNI,Nimes
FNT,Flint/Bishop
FOD,Fort Dodge
FOE,Topeka
FOG,Foggia
FOR,Fortaleza
FPM,Melun
FPO,"Freeport/Intl,Grand Bahama I"
FPR,Fort Pierce/St Lucie
FRA,Frankfurt
FRG,Farmingdale
FRI,Fort Riley/Marshall
FRL,Forli
FRO,Florø
FRU,Manas
FRZ,Fritzlar
FSC,Figari Corsica
FSD,Sioux Falls
FSI,Fort Sill/Henry Po
FSM,Fort Smith
FSP,Floatel Superior
FTW,Fort Worth Meacham
FTY,Atlanta/Fulton C
FUE,Fuerteventura
FUK,Fukuoka
FWA,Fort Wayne
FWH,Fort Worth Carswell
FYV,Fayetteville Drake Field
FZO,Filton
GAE,Gabes
GAF,Gafsa
GAL,Galena
GAN,Gan Island
GBI,Grand Bahama
GCI,Guernsey
GCK,Garden City
GCN,Grand Canyon
GDN,Gdansk
GDX,Magadan/Sokol
GEG,Spokane International
GEV,Gallivare
GFA,Great Falls Malmstrom AFB
GFL,Glens Falls/Warren C
GFR,Granville
GGG,Longview
GGT,"George Town, Exuma I."
GGW,Glasgow US
GHC,Bullocks Harbour
GHF,Giebelstadt
GHK,Gush Katif
GIA,Gap-Tallard
GIB,Gibraltar/North Fr
GIG,Rio De Janeiro Galeao
GIZ,Gassim
GJR,Gjogur
GKB,Bangalore
GKE,Geilenkirchen
GLA,Glasgow
GLO,Gloucestershire
GLZ,Breda/Gilze-Rijen
GNB,Grenoble
GNV,Gainesville/J R Alis
GOA,Genova
GOH,Nuuk/Godthaab
GOI,Goa
GOJ,Novgorod
GON,Groton
GOT,Gøteborg
GOZ,Gorna Orechovitsa
GPA,Patras/Araxos A
GPT,Gulfport/Biloxi R
GRJ,George Airport
GRO,Girona
GRQ,Groningen
GRR,Grand Rapids
GRS,Grosseto
GRU,Sao Paulo Guarulhos
GRW,Azorene GRW
GRX,Granada
GRY,Grimsey
GRZ,Graz
GSB,Goldsboro/Seymour
GSE,Gøteborg Save
GSP,Greenville Spartanburg Intl
GTF,Great Falls International
GTW,Zlin
GUP,Gallup/Senator
GUS,Peru
GVA,Geneve
GVX,Gavle
GWO,Greenwood Leflore
GWT,Westerland/Sylt
GWY,Galway Carnmore
GYD,Baku
GYY,Gary
GZP,Alanya/Gazipasa
GZT,Gaziantep 
HAA,Hasvik
HAD,Halmstad
HAJ,Hannover
HAM,Hamburg
HAQ,Hanimaadhoo
HAU,Haugesund
HAV,Havana
HAW,Haverfordwest
HDB,Heidelberg
HDF,Heringsdorf
HEL,Helsinki
HER,Heraklion
HFA,Haifa
HFD,Hartford/Brainard
HFN,Hofn/Hornafjordur
HFS,Hagfors
HFT,Hammerfest
HGL,Helgoland-Dune
HGR,Hagerstown/Wash. Co
HHN,Frankfurt Hahn
HHR,Hawthorne
HIB,Hibbing/Chisholm
HIF,Ogden/Hill AFB
HIJ,Hiroshima
HKG,Hongkong
HKT,Phuket
HKY,Hickory
HLF,Hultsfred
HLN,Helena
HLY,Holyhead
HMA,Khanty-Mansiysk
HMN,Alamogordo
HMR,Hamar
HMV,Hemavan
HND,Tokyo Haneda
HOF,Hail
HOH,Hohenems
HON,Huron/Howes
HOQ,Hof
HOR,Azorene Horta
HOU,Houston Hobby
HOV,Ørsta/Volda
HPN,White Plains
HQM,Hoquiam/Bowerman
HRD,Harstad
HRG,Hurghada
HRK,Kharkov
HRL,Harlingen/Valley I
HRO,Harrison/Boone Co
HST,Homestead
HSV,Huntsville
HTS,Huntington
HUA,Huntsville/Redstone
HUF,Terre Haute
HUV,Hudiksvall
HUY,Humberside
HVG,Honningsvåg
HVK,Holmavik
HVN,New Haven
HYA,Hyannis Barnstable
HYC,High Wycombe
HYV,Hyvinkaa
HZK,Husavik
IAD,Washington Dulles 
IAG,Niagara Falls
IAH,Houston
IAS,Iasi
IBZ,Ibiza
ICN,Seoul Inchon
IDA,Idaho Falls/Fanning
IDB,Idre
IEG,Zielona Gora
IES,Riesa-Gohlis
IEV,Kyiv Zhulyany
IFJ,Isafjordur
IFO,Ivano-Frankovsk
IGA,Inagua
IGL,Izmir Cigli
IIA,Inishmaan
IKK,Kankakee
IKT,Irkutsk
ILF,Ilford
ILG,Wilmington Greater
ILH,Illesheim
ILM,Wilmington International
ILY,Islay
ILZ,Zilina
IND,Indianapolis
INI,Nis
INK,Wink
INN,Innsbruck
INQ,Inisheer
INT,Winston Salem
INV,Inverness
IOA,Ioannina
IOM,Isle Of Man
IOR,Inishmore/Kilronan
IPT,Williamsport
IRK,Kirksville
ISB,Islamabad
ISE,Isparta/S.Demirel
ISL,Istanbul
ISP,Islip Long Island
IST,Istanbul
IUD,Al Udeid
IVL,Ivalo
JAC,Jackson Hole
JAN,Jackson
JAV,Ilulissat/Jakobshavn
JAX,Jacksonville FL
JBR,Jonesboro
JCH,Qasigiannguit/Christianshaab
JED,Jeddah
JEG,Aasiaat/Egedesminde
JEN,Julestjernen
JER,Jersey
JFK,New York/JFK
JFR,Paamiut/Frederikshaab
JGO,Qeqertarsuaq/Godhavn
JHS,Sisimiut/Holsteinsborg
JIK,Ikaria
JJN,Jinjiang
JJU,Qaqortoq/Julianehaab
JKG,Jønkøping
JKH,Chios
JKT,Jakarta
JLN,Joplin
JMK,Mykonos
JMS,Jamestown
JNB,Johannesburg
JNN,Nanortalik
JNX,Naxos
JOE,Joensuu
JRK,Arsuk
JSH,Sitia
JSI,Skiathos
JST,Johnstown
JSU,Maniitsoq
JSY,Syros
JTR,Santorini
JTY,Astypalaia
JUI,Juist
JUL,Reisen til julestjernen
JXN,Jackson/Reynolds
JYV,Jyvaskyla
KAJ,Kajaani
KAO,Kuusamo
KAU,Kauhava
KBL,Kabul
KBP,Kyiv Boryspil
KBV,Krabi
KCM,Kahramanmaras
KDL,Kardla
KDM,Kaadedhdhoo
KDO,Kadhdhoo
KEF,Reykjavik
KEL,Kiel
KEM,Kemi/Tornio
KES,Kelsey
KEV,Kuorevesi
KGD,Kaliningrad
KGF,Karaganda
KGS,Kos
KHI,Karachi
KHJ,Kauhajoki
KID,Kristianstad
KIN,Kingston Norman Manley
KIR,Kerry Farranfore
KIT,Kithira
KIV,Kishinev
KIX,Osaka Kansai
KJK,Kortrijk
KKC,Khon Kaen
KKN,Kirkenes
KKY,Kilkenny
KLI,Kaiserslautern
KLJ,Klaipeda
KLR,Kalmar
KLU,Klagenfurt
KLV,Karlovy Vary
KLX,Kalamata
KOI,"Kirkwall, Orkney Islands"
KOJ,Kagoshima
KOK,Kokkola/Pietarsaari
KRF,Kramfors
KRH,Redhill
KRK,Krakow
KRN,Kiruna
KRP,Karup
KRR,Krasnodar
KRS,Kristiansand
KSC,Kosice/Barca
KSD,Karlstad
KSF,Kassel
KSJ,Kasos
KSK,Karlskoga
KSO,Kastoria
KSU,Kristiansund
KSW,Kiryat Shmona
KSY,Kars
KTP,Kingston Tinson
KTQ,Kitee
KTT,Kittila
KTW,Katowice
KUA,Kuantan
KUL,Kuala Lumpur
KUN,Kaunas
KUO,Kuopio
KUS,Kulusuk
KVA,Kavala
KVB,Skøvde
KVX,Kirov
KWI,Kuwait
KYA,Konya
KZG,Kitzingen
KZI,Kozani/Filippos
KZN,Kazan
KZS,Kastelorizo
LAF,Lafayette/Purdue U
LAI,Lannion
LAL,Lakeland
LAN,Lansing
LAR,Laramie
LAS,Las Vegas Mc Carran
LAX,Los Angeles
LBA,Leeds/Bradford
LBB,Lubbock International
LBC,Hamburg Lubeck
LBD,Khudzhand
LBE,Latrobe/Westmore
LBG,Le Bourget
LBI,Albi
LBL,Liberal
LBY,La Baule-Escoublac
LCA,Larnaca
LCC,Lecce/Lepore
LCG,La Coruna
LCH,Lake Charles
LCJ,Lodz
LCK,Columbus Rickenbacker
LCV,Lucca/Tassignano
LCY,London City
LDE,Lourdes/Tarbes
LDK,Lidkøping
LDV,Landivisiau
LDY,Londonderry
LEB,Lebanon
LED,St. Petersburg
LEH,Le Havre
LEI,Almeria
LEJ,Leipzig
LEQ,Lands End/St.Just
LEU,Seo De Urgel
LEX,Lexington
LEY,Lelystad
LFI,Hampton/Langley
LFT,Lafayette
LGA,New York La Guardia
LGB,Long Beach
LGG,Liege
LGO,Langeoog
LGW,London Gatwick
LHA,Lahr
LHE,Lahore
LHR,London Heathrow
LID,Leiden
LIG,Limoges
LIL,Lille
LIN,Milano Linate
LIS,Lisboa
LJU,Ljubljana
LKL,Lakselv
LKN,Leknes
LLA,Luleå
LME,Le Mans-Arnage
LMO,Lossiemouth
LMP,Lampedusa
LMT,Klamath Falls/Kingsley
LNK,Lincoln
LNS,Lancaster
LNZ,Linz
LON,London
LOS,Lagos
LOU,Louisville Bowman Field
LOZ,London US
LPA,Gran Canaria
LPI,Linkøping
LPL,Liverpool
LPP,Lappeenranta
LPT,Lampang
LPX,Liepaya
LPY,Le Puy/Loudes
LRA,Larisa
LRC,Laarbruch
LRD,Laredo
LRH,La Rochelle
LRS,Leros
LRT,Lorient
LRU,Las Cruces
LSE,La Crosse
LSF,Fort Benning/Lawson A
LSI,Shetland
LSV,Las Vegas Nellis AFB
LTH,Lathorp Wells
LTN,London Luton
LTQ,Le Touquet/Paris-Plage
LTS,Altus
LUG,Lugano
LUK,Cincinnati
LUX,Luxembourg
LUZ,Lublin
LVA,Laval-Entrammes
LVM,Livingston
LVN,Låven
LWM,Lawrence
LWO,Lvov
LWR,Leeuwarden
LWT,Lewistown
LXR,Luxor
LXS,Lemnos
LYC,Lycksele
LYE,Lyneham
LYH,Lynchburg
LYN,Lyon Bron
LYR,Longyearbyen
LYS,Lyon
LYU,Ely
LYX,Lydd
MAA,Madras
MAD,Madrid
MAF,Midland
MAH,Menorca
MAN,Manchester
MBD,Mmabatho
MBJ,Montego Bay
MBS,Saginaw
MBX,Maribor
MCC,Sacramento Mcclellan AFB
MCF,Tampa Mac Dill AFB
MCI,Kansas City
MCM,Monte Carlo
MCN,Macon
MCO,Orlando International
MCQ,Miskolc
MCT,Muscat
MCU,Montlucon-Gueret
MDT,Harrisburg
MDW,Chicago Midway
MED,Medina
MEH,Mehamn
MEI,Meridian
MEM,Memphis
MEN,Mende-Brenoux
MER,Atwater Castle AFB
MEX,Mexico City
MFE,Mcallen/Miller I
MFR,Medford
MFX,Meribel
MGE,Marietta
MGM,Montgomery Dannelly
MGW,Morgantown
MHG,Mannheim
MHH,"Marsh Harbour, Abaco I."
MHK,Manhattan
MHP,Minsk International 1
MHQ,Mariehamn
MHT,Manchester US
MHZ,Mildenhall
MIA,Miami
MIE,Muncie
MIK,Mikkeli
MIL,Milano
MIP,Mitzpe-Ramon Airstrip
MIR,Monastir
MJF,Mosjøen
MJT,Mytilini
MJV,Murcia
MKA,Marianske Lazne
MKC,Kansas  Downtown
MKE,Milwaukee
MKG,Muskegon
MKL,Jackson/Mckellar
MKZ,Malacca/Batu Ber
MLA,Malta
MLB,Melbourne US
MLC,Mc Alester
MLE,Male
MLH,Mulhouse
MLI,Moline/Quad-Cit
MLN,Melilla
MLO,Milos
MLU,Monroe
MLX,Malatya/Erhac
MME,Teesside
MMK,Murmansk
MMU,Morristown
MMX,Malmø
MNL,Manila
MOD,Modesto
MOL,Molde
MON,Mount Cook
MOT,Minot
MOW,Moskva
MPL,Montpellier
MQC,Miquelon
MQN,Mo i Rana
MQT,Marquette
MQY,Smyrna
MRB,Martinsburg
MRS,Marseille
MRU,Mauritius
MRY,Monterey
MSE,Manston
MSN,Madison
MSO,Missoula
MSP,Minneapolis
MSQ,Minsk International 2
MSR,Mus
MSS,Massena/Richards
MST,Maastricht
MSY,New Orleans
MTN,Baltimore/Glenn L Martin
MUC,Munchen
MUH,Mersa
MUI,Fort Indiantown/Muir AAF
MUO,Mountain Home AFB
MVQ,Mogilev
MVV,Megeve
MXF,Montgomery Maxwell
MXN,Morlaix-Ploujean
MXP,Milano Malpensa
MXX,Mora
MYG,Mayaguana
MYR,Myrtle Beach
MYV,Marysville/Yuba Cou
NAP,Napoli
NAQ,Qaanaaq
NAS,Nassau
NAW,Narathiwat
NBE,Enfidha
NBG,New Orleans Alvin Callendar
NCE,Nice
NCL,Newcastle
NCY,Annecy
NDB,Nouadhibou
NDJ,Ndjamena
NDR,Nador
NDY,Sanday
NDZ,Nordholz - Spieka
NEG,Negril
NEL,Lakehurst/Naec
NET,"New Bight, Cat I."
NEW,New Orleans Lakefront
NFL,Fallon/NAS
NGP,Corpus Christi NAS
NGS,Nagasaki
NGU,Norfolk/NAS Cham
NHK,Patuxent River/NAS
NHT,Northolt
NHZ,Brunswick NAS
NIC,Nicosia
NIP,Jacksonville NAS
NIT,Niort/Souche
NKC,Nouakchott
NKT,Cherry Point
NKX,San Diego Miramar
NNA,Kenitra
NNG,Nanning Wuxu International Air
NNR,Connemara
NOC,Connaught
NOD,Norden-Norddeich
NOF,Snøfall
NOR,Nordfjordur
NPA,Pensacola NAS
NQI,Kingsville/NAS
NQX,Key West/NAS
NQY,Newquay
NRD,Norderney
NRK,Norrkøping
NRL,North Ronaldsway
NRN,Dusseldorf Weeze
NRT,Tokyo Narita
NSY,Sigonella
NTB,Notodden
NTE,Nantes
NUE,Nurnberg
NUQ,Mountain View
NUT,Nutuve
NVK,Narvik
NVS,Nevers/Fourchambault
NWI,Norwich
NXX,Willow Grove
NYO,Stockholm Skavsta 
NZC,Jacksonville Cecil Field
NZY,San Diego North Island
OAK,Oakland - San Francisco
OBF,Oberpfaffenhofen
OBL,Zoersel
OBS,Aubenas-Vals-Lanas
OBY,Ittoqqortoormiit/Scoresbysund
OCJ,Ocho Rios/Boscobel
ODB,Ciudad Real/Almagro
ODE,Odense
ODH,Odiham
ODS,Odessa
OER,Ørnskøldsvik
OGD,Ogden
OHR,Wyk Auf Fohr
OKA,Okinawa/Kadena A
OKC,Oklahoma City
OLA,Ørland
OLB,Olbia
OLD,Old Town
OLM,Olympia
OLO,Olomouc
OLU,Columbus Municipal NE
OMA,Omaha
OMO,Mostar
OMR,Oradea
OMS,Omsk
ONT,Ontario
OPA,Kopasker
OPO,Porto
ORA,Al Asud
ORB,Ørebro
ORD,Chicago OHare
ORE,Orleans
ORF,Norfolk
ORH,Worcester
ORK,Cork
ORM,Northampton/Sywell
ORY,Paris Orly
OSA,Osaka
OSD,Østersund
OSH,Oshkosh
OSI,Osijek
OSK,Oskarshamn
OSL,Oslo
OSP,Redzikow
OSR,Ostrava
OST,Oostende
OSU,Columbus Ohio State University
OSY,Namsos
OSZ,Koszalin
OTH,North Bend
OTP,Bucuresti Otopeni
OUL,Oulu
OVB,Novosibirsk 
OVD,Asturias
OWB,Owensboro-Davies County
OXF,Oxford/Kidlington
OZZ,Ouarzazate
PAD,Paderborn-Lippstadt
PAE,Everett Snohomish County
PAH,Paducah/Barkley
PAM,Panama City Tyndall (US)
PAR,Paris
PAS,Paros
PBG,Plattsburgh AFB
PCN,Picton/Koromiko
PDG,Padang/Tabing
PDK,Atlanta/De Kalb
PDL,Ponta Delgada Sao Miguel
PDV,Plovdiv
PDX,Portland
PEF,Peenemunde
PEG,Perugia
PEK,Beijing Capital
PEN,Penang
PFJ,Patreksfjordur
PFN,Panama City Bay County
PFO,Paphos
PGF,Perpignan
PHF,Newport News
PHL,Philadelphia
PHX,Phoenix
PIA,Peoria
PIE,St Petersburg-Clearwater (US)
PIH,Pocatello
PIK,Glasgow Prestwick
PIR,Pierre
PIS,Poitiers
PIT,Pittsburgh
PIW,Pikwitonei
PIX,Azorene Pico
PKB,Parkeresburg/Wood County-GRW
PKH,Porto Kheli/Alexion
PLB,Plattsburgh Clinton
PLH,Plymouth
PLN,Pellston
PLQ,Palanga
PLU,Belo Horizonte Pampulha
PLV,Poltava
PLZ,Port Elizabeth
PMD,Palmdale/Air Forc
PME,Portsmouth (UK)
PMF,Parma
PMI,Palma Mallorca
PMO,Palermo
PMV,Isla de Margarita
PNA,Pamplona
PNH,Phnom Penh
PNL,Pantelleria
PNR,Pointe Noire
PNS,Pensacola Regional
PNV,Panevezys
POB,Fayetteville Pope AFB
POE,Fort Polk
POP,Puerto Plata
POR,Pori
POT,Port Antonio
POU,Poughkeepsie
POV,Presov
POW,Portoroz
POX,Paris Cergy Pontoise
POZ,Poznan
PPW,Papa Westray
PRB,Paso Robles
PRC,Prescott
PRG,Praha
PRJ,Capri
PRM,Portimao
PRN,Pristina
PRP,Propriano
PRV,Prerov
PRX,Paris Cox Field (US)
PRY,Pretoria
PSA,Pisa
PSD,Port Said
PSH,St Peter
PSM,Portsmouth (US)
PSP,Palm Springs
PSR,Pescara
PTK,Pontiac
